usid,call_time,transcript_text
0123456,2026-06-25T00:18:03Z,"Calls cut off after a minute, they keep dropping mid-conversation."
0123456,2026-06-25T01:18:03Z,"No service in my neighborhood since yesterday, can't connect to anything."
0123456,2026-06-25T02:18:03Z,Can you help me reset my password? I can't log in to the app.
0223456,2026-06-25T06:18:03Z,"No service in my neighborhood since yesterday, can't connect to anything."
0223456,2026-06-25T07:18:03Z,"Data is super slow, pages won't load even with full bars."
0223456,2026-06-25T08:18:03Z,"Hi, my calls keep dropping every time I'm downtown — so frustrating."
0323456,2026-06-25T12:18:03Z,"Data is super slow, pages won't load even with full bars."
0323456,2026-06-25T13:18:03Z,"Hi, my calls keep dropping every time I'm downtown — so frustrating."
0323456,2026-06-25T14:18:03Z,"I have no signal at all at home now, it's a total dead zone."
0323456,2026-06-25T15:18:03Z,"The internet is so slow, videos just keep buffering and won't load."
0323456,2026-06-25T16:18:03Z,There's a billing error and I need a refund please.
0423456,2026-06-25T18:18:03Z,"Hi, my calls keep dropping every time I'm downtown — so frustrating."
0423456,2026-06-25T19:18:03Z,"I have no signal at all at home now, it's a total dead zone."
0654321,2026-06-26T00:18:03Z,"Calls cut off after a minute, they keep dropping mid-conversation."
0654321,2026-06-26T01:18:03Z,"No service in my neighborhood since yesterday, can't connect to anything."
0654321,2026-06-26T02:18:03Z,Can you help me reset my password? I can't log in to the app.
0654322,2026-06-26T06:18:03Z,"No service in my neighborhood since yesterday, can't connect to anything."
0654322,2026-06-26T07:18:03Z,"Data is super slow, pages won't load even with full bars."
0654322,2026-06-26T08:18:03Z,"Hi, my calls keep dropping every time I'm downtown — so frustrating."
0789012,2026-06-26T12:18:03Z,"I can't call anyone, it fails immediately every time I try."
0789012,2026-06-26T13:18:03Z,"My texts won't send, the message just sits there, can't text at all."
0789012,2026-06-26T14:18:03Z,There's a billing error and I need a refund please.
0999001,2026-06-26T18:18:03Z,"My texts won't send, the message just sits there, can't text at all."
0999001,2026-06-26T19:18:03Z,"Calls cut off after a minute, they keep dropping mid-conversation."
0999001,2026-06-26T20:18:03Z,"No service in my neighborhood since yesterday, can't connect to anything."
0999002,2026-06-27T00:18:03Z,"Calls cut off after a minute, they keep dropping mid-conversation."
0999002,2026-06-27T01:18:03Z,"No service in my neighborhood since yesterday, can't connect to anything."
0999002,2026-06-27T02:18:03Z,"Data is super slow, pages won't load even with full bars."
0999002,2026-06-27T03:18:03Z,"Hi, my calls keep dropping every time I'm downtown — so frustrating."
0999002,2026-06-27T04:18:03Z,Can you help me reset my password? I can't log in to the app.
0999003,2026-06-27T06:18:03Z,"No service in my neighborhood since yesterday, can't connect to anything."
0999003,2026-06-27T07:18:03Z,"Data is super slow, pages won't load even with full bars."
